"Report Period","Cert/ID","Institution Name","City","State","Class","A","L"
"20221231","29696","BUFFALO FEDERAL BANK","BUFFALO","WY","SM","174190","151815"
"20221231","29700","CENTURY NEXT BANK","RUSTON","LA","SB","642730","561684"
"20221231","29705","FIRST FEDERAL COMMUNITY BANK OF BUCYRUS","BUCYRUS","OH","SB","253548","195759"
"20221231","29708","NORTH AMERICAN SAVINGS BANK, F.S.B.","GRANDVIEW","MO","SB","2517837","1659371"
"20221231","29710","FIRST FEDERAL SAVINGS BANK OF WASHINGTON","WASHINGTON","IN","SI","75295","64380"
"20221231","29731","THE SOUTHERN BANK COMPANY","GADSDEN","AL","NM","110616","88066"
"20221231","29743","AROOSTOOK COUNTY FEDERAL SAVINGS AND LOAN ASSOCIATION","CARIBOU","ME","SB","185569","165554"
"20221231","29744","FIRST SEACOAST BANK","DOVER","NH","SB","537395","393417"
"20221231","29745","MARATHON BANK","WAUSAU","WI","SI","236600","206431"
"20221231","29749","SOUTHERN HILLS COMMUNITY BANK","LEESBURG","OH","SB","180975","155581"
"20221231","29764","CLAY COUNTY SAVINGS BANK","LIBERTY","MO","NM","153139","137882"
"20221231","29771","KS BANK, INC.","SMITHFIELD","NC","SI","547269","482208"
"20221231","29772","VIDALIA FEDERAL SAVINGS BANK","VIDALIA","GA","SB","212693","181445"
"20221231","29774","CARROLLTON FEDERAL BANK","CARROLLTON","KY","SB","38670","33622"
"20221231","29782","FIRST FEDERAL BANK","DICKSON","TN","SI","1022264","918473"
"20221231","29783","HIGH COUNTRY BANK","SALIDA","CO","SM","440094","398004"
"20221231","29787","FIRST FEDERAL COMMUNITY BANK, NATIONAL ASSOCIATION","DOVER","OH","N","681500","605422"
"20221231","29800","LISLE SAVINGS BANK","LISLE","IL","SI","580200","416216"
"20221231","29804","CATALYST BANK","OPELOUSAS","LA","SB","251998","171693"
"20221231","29809","FIRST SAVINGS BANK OF HEGEWISCH","CHICAGO","IL","SI","812420","693544"
"20221231","29813","PEOPLES SAVINGS AND LOAN COMPANY","BUCYRUS","OH","NM","151706","122837"
"20221231","29835","MILFORD FEDERAL BANK","MILFORD","MA","SB","487689","383712"
"20221231","29838","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF LORAIN","LORAIN","OH","SB","526440","413190"
"20221231","29839","CROSSROADS BANK","WABASH","IN","NM","538484","492977"
"20221231","29842","COMMONWEALTH CO-OPERATIVE BANK","HYDE PARK","MA","SM","207975","147618"
"20221231","29845","PREMIER BANK","YOUNGSTOWN","OH","NM","8408012","6965168"
"20221231","29846","EATON COMMUNITY BANK","CHARLOTTE","MI","SB","459614","345870"
"20221231","29847","WAYNE SAVINGS COMMUNITY BANK","WOOSTER","OH","NM","731510","609556"
"20221231","29857","THE LIBERTY SAVINGS ASSOCIATION, FSA","FORT SCOTT","KS","SB","31487","24980"
"20221231","29858","SSB COMMUNITY BANK","STRASBURG","OH","NM","204152","177668"
"20221231","29874","DEARBORN FEDERAL SAVINGS BANK","DEARBORN","MI","SB","271748","182858"
"20221231","29875","NVE BANK","ENGLEWOOD","NJ","SI","700384","500334"
"20221231","29878","AMERICAN COMMUNITY BANK OF INDIANA","SAINT JOHN","IN","NM","324668","294821"
